[2026-06-12 15:20:01] STAGE: A_PAGE_LOAD     | PLAYER: 1 | GAMEOVER: False | MOVES: 24 | GAME_ID: 2250802403312 | LAST_CLICK: (560, 417) | PREVIEW: None
[2026-06-12 15:20:40] STAGE: A_PAGE_LOAD     | PLAYER: 1 | GAMEOVER: False | MOVES: 24 | GAME_ID: 2250802403312 | LAST_CLICK: (560, 417) | PREVIEW: None
[2026-06-12 15:20:40] STAGE: A_PAGE_LOAD     | PLAYER: 1 | GAMEOVER: False | MOVES: 24 | GAME_ID: 2250802403312 | LAST_CLICK: (628, 345) | PREVIEW: (4, 8)
[2026-06-12 15:20:54] STAGE: A_PAGE_LOAD     | PLAYER: 1 | GAMEOVER: False | MOVES: 24 | GAME_ID: 2250802403312 | LAST_CLICK: (628, 345) | PREVIEW: (4, 8)
[2026-06-12 15:20:54] STAGE: A_PAGE_LOAD     | PLAYER: 1 | GAMEOVER: False | MOVES: 24 | GAME_ID: 2250802403312 | LAST_CLICK: (564, 285) | PREVIEW: (3, 7)
[2026-06-12 15:21:15] STAGE: A_PAGE_LOAD     | PLAYER: 1 | GAMEOVER: False | MOVES: 24 | GAME_ID: 2250802403312 | LAST_CLICK: (564, 285) | PREVIEW: (3, 7)
[2026-06-12 15:21:15] STAGE: A_PAGE_LOAD     | PLAYER: 1 | GAMEOVER: False | MOVES: 24 | GAME_ID: 2250802403312 | LAST_CLICK: (563, 350) | PREVIEW: (4, 7)
[2026-06-12 15:21:16] STAGE: A_PAGE_LOAD     | PLAYER: 1 | GAMEOVER: False | MOVES: 24 | GAME_ID: 2250802403312 | LAST_CLICK: (563, 350) | PREVIEW: (4, 7)
[2026-06-12 15:21:16] STAGE: A_PAGE_LOAD     | PLAYER: 1 | GAMEOVER: False | MOVES: 24 | GAME_ID: 2250802403312 | LAST_CLICK: (563, 296) | PREVIEW: (3, 7)
[2026-06-12 15:21:17] STAGE: A_PAGE_LOAD     | PLAYER: 1 | GAMEOVER: False | MOVES: 24 | GAME_ID: 2250802403312 | LAST_CLICK: (563, 296) | PREVIEW: (3, 7)
[2026-06-12 15:21:17] STAGE: A_PAGE_LOAD     | PLAYER: 1 | GAMEOVER: False | MOVES: 24 | GAME_ID: 2250802403312 | LAST_CLICK: (573, 354) | PREVIEW: (4, 7)
[2026-06-12 15:21:23] STAGE: A_PAGE_LOAD     | PLAYER: 1 | GAMEOVER: False | MOVES: 24 | GAME_ID: 2250802403312 | LAST_CLICK: (573, 354) | PREVIEW: (4, 7)
[2026-06-12 15:21:23] STAGE: B_HUMAN_PLAY    | PLAYER: 2 | GAMEOVER: False | MOVES: 24 | GAME_ID: 2250802403312 | LAST_CLICK: (559, 338) | PREVIEW: (4, 7)
[2026-06-12 15:21:23] STAGE: A_PAGE_LOAD     | PLAYER: 2 | GAMEOVER: False | MOVES: 25 | GAME_ID: 2250802403312 | LAST_CLICK: (559, 338) | PREVIEW: None
[2026-06-12 15:21:23] STAGE: C_AI_BEFORE     | PLAYER: 2 | GAMEOVER: False | MOVES: 25 | GAME_ID: 2250802403312 | LAST_CLICK: (559, 338) | PREVIEW: None
[2026-06-12 15:22:25] STAGE: D_AI_AFTER      | PLAYER: 1 | GAMEOVER: False | MOVES: 26 | GAME_ID: 2250802403312 | LAST_CLICK: (559, 338) | PREVIEW: None
[2026-06-12 15:22:25] STAGE: A_PAGE_LOAD     | PLAYER: 1 | GAMEOVER: False | MOVES: 26 | GAME_ID: 2250802403312 | LAST_CLICK: (559, 338) | PREVIEW: None
[2026-06-12 15:22:37] STAGE: A_PAGE_LOAD     | PLAYER: 1 | GAMEOVER: False | MOVES: 26 | GAME_ID: 2250802403312 | LAST_CLICK: (559, 338) | PREVIEW: None
[2026-06-12 15:22:37] STAGE: A_PAGE_LOAD     | PLAYER: 1 | GAMEOVER: False | MOVES: 26 | GAME_ID: 2250802403312 | LAST_CLICK: (628, 346) | PREVIEW: (4, 8)
[2026-06-12 15:22:37] STAGE: A_PAGE_LOAD     | PLAYER: 1 | GAMEOVER: False | MOVES: 26 | GAME_ID: 2250802403312 | LAST_CLICK: (628, 346) | PREVIEW: (4, 8)
[2026-06-12 15:22:41] STAGE: A_PAGE_LOAD     | PLAYER: 1 | GAMEOVER: False | MOVES: 26 | GAME_ID: 2250802403312 | LAST_CLICK: (628, 346) | PREVIEW: (4, 8)
[2026-06-12 15:22:42] STAGE: A_PAGE_LOAD     | PLAYER: 1 | GAMEOVER: False | MOVES: 26 | GAME_ID: 2250802403312 | LAST_CLICK: (628, 346) | PREVIEW: (4, 8)
[2026-06-12 15:22:42] STAGE: B_HUMAN_PLAY    | PLAYER: 2 | GAMEOVER: False | MOVES: 26 | GAME_ID: 2250802403312 | LAST_CLICK: (636, 349) | PREVIEW: (4, 8)
[2026-06-12 15:22:42] STAGE: A_PAGE_LOAD     | PLAYER: 2 | GAMEOVER: False | MOVES: 27 | GAME_ID: 2250802403312 | LAST_CLICK: (636, 349) | PREVIEW: None
[2026-06-12 15:22:42] STAGE: C_AI_BEFORE     | PLAYER: 2 | GAMEOVER: False | MOVES: 27 | GAME_ID: 2250802403312 | LAST_CLICK: (636, 349) | PREVIEW: None
[2026-06-12 15:22:42] STAGE: A_PAGE_LOAD     | PLAYER: 2 | GAMEOVER: False | MOVES: 27 | GAME_ID: 2250802403312 | LAST_CLICK: (636, 349) | PREVIEW: None
[2026-06-12 15:22:43] STAGE: C_AI_BEFORE     | PLAYER: 2 | GAMEOVER: False | MOVES: 27 | GAME_ID: 2250802403312 | LAST_CLICK: (636, 349) | PREVIEW: None
[2026-06-12 15:23:40] STAGE: D_AI_AFTER      | PLAYER: 1 | GAMEOVER: False | MOVES: 28 | GAME_ID: 2250802403312 | LAST_CLICK: (636, 349) | PREVIEW: None
[2026-06-12 15:23:40] STAGE: A_PAGE_LOAD     | PLAYER: 1 | GAMEOVER: False | MOVES: 28 | GAME_ID: 2250802403312 | LAST_CLICK: (636, 349) | PREVIEW: None
[2026-06-12 15:23:41] STAGE: A_PAGE_LOAD     | PLAYER: 1 | GAMEOVER: False | MOVES: 28 | GAME_ID: 2250802403312 | LAST_CLICK: (629, 354) | PREVIEW: None
[2026-06-12 15:23:42] STAGE: A_PAGE_LOAD     | PLAYER: 1 | GAMEOVER: False | MOVES: 28 | GAME_ID: 2250802403312 | LAST_CLICK: (629, 354) | PREVIEW: None
[2026-06-12 15:23:42] STAGE: A_PAGE_LOAD     | PLAYER: 1 | GAMEOVER: False | MOVES: 28 | GAME_ID: 2250802403312 | LAST_CLICK: (496, 281) | PREVIEW: (3, 6)
[2026-06-12 15:23:43] STAGE: A_PAGE_LOAD     | PLAYER: 1 | GAMEOVER: False | MOVES: 28 | GAME_ID: 2250802403312 | LAST_CLICK: (496, 281) | PREVIEW: (3, 6)
[2026-06-12 15:23:43] STAGE: B_HUMAN_PLAY    | PLAYER: 2 | GAMEOVER: False | MOVES: 28 | GAME_ID: 2250802403312 | LAST_CLICK: (493, 277) | PREVIEW: (3, 6)
[2026-06-12 15:23:43] STAGE: A_PAGE_LOAD     | PLAYER: 2 | GAMEOVER: False | MOVES: 29 | GAME_ID: 2250802403312 | LAST_CLICK: (493, 277) | PREVIEW: None
[2026-06-12 15:23:43] STAGE: C_AI_BEFORE     | PLAYER: 2 | GAMEOVER: False | MOVES: 29 | GAME_ID: 2250802403312 | LAST_CLICK: (493, 277) | PREVIEW: None
[2026-06-12 15:25:37] STAGE: D_AI_AFTER      | PLAYER: 1 | GAMEOVER: False | MOVES: 30 | GAME_ID: 2250802403312 | LAST_CLICK: (493, 277) | PREVIEW: None
[2026-06-12 15:25:37] STAGE: A_PAGE_LOAD     | PLAYER: 1 | GAMEOVER: False | MOVES: 30 | GAME_ID: 2250802403312 | LAST_CLICK: (493, 277) | PREVIEW: None
[2026-06-12 15:26:03] STAGE: A_PAGE_LOAD     | PLAYER: 1 | GAMEOVER: False | MOVES: 30 | GAME_ID: 2250802403312 | LAST_CLICK: (493, 277) | PREVIEW: None
[2026-06-12 15:26:03] STAGE: A_PAGE_LOAD     | PLAYER: 1 | GAMEOVER: False | MOVES: 30 | GAME_ID: 2250802403312 | LAST_CLICK: (617, 208) | PREVIEW: (2, 8)
[2026-06-12 15:26:04] STAGE: A_PAGE_LOAD     | PLAYER: 1 | GAMEOVER: False | MOVES: 30 | GAME_ID: 2250802403312 | LAST_CLICK: (617, 208) | PREVIEW: (2, 8)
[2026-06-12 15:26:04] STAGE: B_HUMAN_PLAY    | PLAYER: 1 | GAMEOVER: True | MOVES: 30 | GAME_ID: 2250802403312 | LAST_CLICK: (627, 209) | PREVIEW: (2, 8)
[2026-06-12 15:26:04] STAGE: A_PAGE_LOAD     | PLAYER: 1 | GAMEOVER: True | MOVES: 31 | GAME_ID: 2250802403312 | LAST_CLICK: (627, 209) | PREVIEW: None
