Fri Jun 12 23:28:12 2026    profile.out

         1021810210 function calls (1021425024 primitive calls) in 761.634 seconds

   Ordered by: cumulative time
   List reduced from 168 to 30 due to restriction <30>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      2/1    0.000    0.000  761.634  761.634 {built-in method builtins.exec}
        1    0.000    0.000  761.633  761.633 <string>:1(<module>)
        1    0.008    0.008  761.633  761.633 C:\Users\User\.gemini\antigravity-cli\brain\a1bc882c-48af-4052-945b-e63582bf964c\scratch\profile_test.py:16(play_fast_profile_game)
       66    0.032    0.000  761.373   11.536 C:\Users\User\source\repos\greatkingdomAI\ai\minimax.py:381(find_best_move)
39302/2997    0.569    0.000  737.699    0.246 C:\Users\User\source\repos\greatkingdomAI\ai\minimax.py:464(alphabeta)
   200656   26.116    0.000  701.916    0.003 C:\Users\User\source\repos\greatkingdomAI\engine\game_state.py:37(play_move)
  1045744    5.276    0.000  612.075    0.001 C:\Users\User\source\repos\greatkingdomAI\engine\safe_groups.py:76(is_safe_group)
  1045744  389.372    0.000  606.488    0.001 C:\Users\User\source\repos\greatkingdomAI\engine\safe_groups.py:13(get_empty_regions)
     2994    2.498    0.001  561.431    0.188 C:\Users\User\source\repos\greatkingdomAI\ai\minimax.py:64(order_moves)
256458580   79.476    0.000   79.476    0.000 C:\Users\User\source\repos\greatkingdomAI\engine\board.py:22(is_valid)
255963663   76.797    0.000   76.797    0.000 {method 'add' of 'set' objects}
342791322   57.470    0.000   57.470    0.000 C:\Users\User\source\repos\greatkingdomAI\engine\board.py:30(get)
    36213    0.466    0.000   46.753    0.001 C:\Users\User\source\repos\greatkingdomAI\ai\evaluation.py:466(evaluate)
    36213    3.215    0.000   46.287    0.001 C:\Users\User\source\repos\greatkingdomAI\ai\evaluation.py:337(evaluate_detailed)
  2191450   30.016    0.000   45.096    0.000 C:\Users\User\source\repos\greatkingdomAI\engine\capture.py:14(get_group)
    72426    2.800    0.000   37.335    0.001 C:\Users\User\source\repos\greatkingdomAI\ai\evaluation.py:245(analyze_groups_detailed_flat)
    79904    0.127    0.000   32.956    0.000 C:\Users\User\source\repos\greatkingdomAI\ai\evaluation.py:173(get_future_liberty_risk_flat)
369178/20298    3.826    0.000   32.829    0.002 C:\Users\User\source\repos\greatkingdomAI\ai\evaluation.py:98(future_lib_minimax_flat)
 62205569   17.922    0.000   17.922    0.000 {method 'popleft' of 'collections.deque' objects}
   316572   10.795    0.000   15.534    0.000 C:\Users\User\source\repos\greatkingdomAI\ai\evaluation.py:62(play_move_flat)
  1039961    9.714    0.000   15.053    0.000 C:\Users\User\source\repos\greatkingdomAI\engine\capture.py:49(get_liberties)
 56943194   14.923    0.000   14.923    0.000 {method 'append' of 'collections.deque' objects}
     3061    0.265    0.000   14.905    0.005 C:\Users\User\source\repos\greatkingdomAI\ai\minimax.py:215(get_legal_moves)
   369178    7.974    0.000   11.716    0.000 C:\Users\User\source\repos\greatkingdomAI\ai\evaluation.py:89(get_local_state_key)
    36213    3.627    0.000    5.093    0.000 C:\Users\User\source\repos\greatkingdomAI\ai\evaluation.py:191(calculate_territory_flat)
 13177907    4.567    0.000    4.567    0.000 {method 'append' of 'list' objects}
 13504188    3.518    0.000    3.518    0.000 {built-in method builtins.len}
   200937    0.793    0.000    2.035    0.000 C:\Users\User\source\repos\greatkingdomAI\ai\minimax.py:165(copy_game_state)
  2400565    1.921    0.000    1.921    0.000 {method 'update' of 'set' objects}
     3063    1.272    0.000    1.763    0.001 C:\Users\User\source\repos\greatkingdomAI\engine\territory.py:7(calculate_territory_details)


